Loci	N30	T30	O30	N30p	T30p	O30p	N20	T20	N20p	T20p
03_72032354	-0.000	0.483	0.379	1.000	0.092	0.092	0.000	0.660	1.000	0.054
03_72032356	NA	0.483	0.483	NA	0.083	0.083	NA	0.660	NA	0.041
03_72032364	NA	0.660	0.661	NA	0.052	0.052	NA	0.000	NA	1.000
03_76412950	0.170	0.211	0.190	0.244	0.180	0.073	0.143	0.119	0.331	0.364
03_78955559	-0.118	0.042	-0.019	0.604	0.583	0.503	-0.107	-0.005	0.699	0.698
03_79238328	0.172	0.228	0.204	0.361	0.198	0.083	-0.069	0.205	0.834	0.233
03_79238560	0.362	0.365	0.363	0.160	0.145	0.025	0.353	0.363	0.219	0.156
03_79251743	-0.111	0.205	0.077	0.660	0.251	0.271	-0.094	0.200	0.775	0.260
03_80698184	-0.000	-0.000	-0.000	1.000	1.000	1.000	NA	-0.000	NA	1.000
03_89527339	-0.000	-0.014	-0.009	1.000	0.985	0.985	NA	-0.016	NA	0.983
03_91120270	NA	0.659	0.659	NA	0.056	0.056	NA	0.000	NA	1.000
03_99109682	0.301	0.030	0.160	0.064	0.583	0.128	0.143	-0.056	0.342	0.534
03_108452968	-0.000	0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
03_114047969	0.477	0.060	0.203	0.098	0.570	0.079	0.475	-0.119	0.114	0.622
03_122128040	-0.000	0.000	-0.000	1.000	1.000	1.000	NA	-0.000	NA	1.000
03_122128064	NA	-0.016	-0.016	NA	0.983	 0.983	NA	-0.017	NA	0.977
03_131013576	-0.014	NA	-0.014	0.982	NA	 0.982	-0.016	NA	0.987	NA
03_131013703	-0.233	-0.014	-0.203	0.195	0.989	0.193	-0.224	-0.000	0.275	1.000
03_131013709	-0.028	0.000	-0.021	0.957	1.000	0.957	-0.017	NA	0.991	NA
03_131013711	0.000	-0.014	-0.009	1.000	0.984	0.984	NA	-0.000	NA	1.000
03_134137296	0.010	0.050	0.030	0.593	0.486	0.468	-0.093	-0.032	0.454	0.590
03_134263490	-0.152	0.259	0.105	0.467	0.110	0.271	-0.170	0.244	0.444	0.166
03_141621084	-0.020	0.304	0.146	0.608	0.055	0.135	-0.138	0.233	0.336	0.161
03_144363790	0.084	0.013	0.048	0.430	0.573	0.348	-0.056	-0.044	0.537	0.527
03_149525329	-0.015	NA	-0.016	0.987	NA	 0.987	-0.018	NA	0.977	NA
03_151876845	0.050	0.090	0.070	0.531	0.418	0.350	-0.002	-0.019	0.651	0.611
03_155166732	0.252	-0.161	0.058	0.147	0.271	0.271	0.135	-0.195	0.381	0.247
03_156461320	0.339	0.215	0.277	0.036	0.176	0.014	0.366	0.125	0.039	0.367
03_156467939	NA	0.660	0.660	NA	0.053	 0.053	NA	-0.000	NA	1.000
03_156467976	NA	0.481	0.480	NA	0.085	 0.085	NA	-0.015	NA	0.987
03_156468014	NA	0.483	0.483	NA	0.083	 0.083	NA	-0.015	NA	0.982
03_156468036	NA	0.483	0.483	NA	0.081	 0.081	NA	-0.015	NA	0.986
03_159603503	0.870	-0.198	0.274	0.001	0.229	0.014	0.780	-0.261	0.015	0.139
03_161045933	0.089	0.163	0.125	0.412	0.258	0.159	-0.048	0.093	0.542	0.407
03_166137749	-0.057	-0.030	-0.046	0.867	0.960	0.833	-0.033	-0.033	0.945	0.957
03_170000626	0.089	-0.167	-0.039	0.395	0.243	0.465	0.016	-0.285	0.582	0.103
03_171107473	-0.035	0.158	0.059	0.533	0.278	0.300	-0.047	0.119	0.553	0.365
03_171107695	0.000	-0.000	-0.000	1.000	1.000	1.000	NA	-0.000	NA	1.000
03_177407845	0.395	0.147	0.290	0.029	0.354	0.019	0.380	0.140	0.047	0.373
03_177874586	-0.032	-0.000	-0.025	0.959	1.000	0.959	-0.018	0.000	0.987	1.000
03_184986465	-0.063	0.128	0.055	0.876	0.451	0.522	-0.055	0.115	0.906	0.471
03_189350493	0.661	-0.015	0.373	0.045	0.979	0.066	0.659	-0.015	0.056	0.983
03_189933837	0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
03_196156577	-0.123	-0.219	-0.168	0.429	0.198	0.135	-0.292	-0.269	0.106	0.122
03_196158941	-0.216	0.327	0.092	0.277	0.060	0.272	-0.256	0.305	0.234	0.078
03_197552390	0.000	0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
03_198758767	0.660	-0.015	0.380	0.037	0.986	0.050	0.659	-0.016	0.040	0.981
03_198758882	-0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
03_198758888	-0.077	-0.015	-0.060	0.773	0.985	0.759	-0.069	0.000	0.824	1.000
03_199890802	-0.014	-0.014	-0.014	0.983	0.987	0.970	-0.016	0.000	0.981	1.000
03_202088492	0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	-0.000	1.000	1.000
03_202088511	0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	-0.000	1.000	1.000
03_203525382	-0.014	NA	-0.015	0.987	NA	 0.987	-0.018	NA	0.981	NA
03_203525394	-0.014	NA	-0.015	0.990	NA	 0.990	-0.018	NA	0.990	NA
03_203525405	0.089	0.179	0.128	0.513	0.322	0.230	0.106	0.165	0.491	0.382
03_203525450	0.172	0.179	0.176	0.343	0.327	0.130	0.211	0.165	0.312	0.365
03_204524345	NA	-0.030	-0.030	NA	0.941	 0.941	NA	-0.016	NA	0.991
03_204524350	NA	-0.014	-0.014	NA	0.992	 0.992	NA	0.000	NA	1.000
03_204524360	NA	-0.014	-0.014	NA	0.983	 0.983	NA	0.000	NA	1.000
03_204524385	-0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	NA	1.000	NA
03_204524403	NA	-0.014	-0.015	NA	0.984	 0.984	NA	0.000	NA	1.000
03_206788884	-0.250	-0.143	-0.206	0.185	0.532	0.100	-0.244	-0.167	0.237	0.467
03_206788885	-0.069	0.000	-0.057	0.850	1.000	0.850	-0.074	0.000	0.851	1.000
03_206789132	-0.027	-0.027	-0.027	0.963	0.966	0.930	0.000	-0.015	1.000	0.988
03_209282191	-0.013	0.381	0.305	0.983	0.058	0.058	-0.016	0.216	0.981	0.297
04_8501525	NA	-0.030	-0.030	NA	0.956	0.956	NA	-0.032	NA	0.963
04_9997585	0.370	0.319	0.334	0.122	0.068	0.006	0.659	0.255	0.040	0.189
04_10905125	0.000	-0.028	-0.021	1.000	0.953	0.953	0.000	-0.031	1.000	0.956
04_10905149	0.000	-0.028	-0.021	1.000	0.946	0.946	-0.000	-0.031	1.000	0.955
04_11031413	0.325	-0.070	0.099	0.067	0.462	0.156	0.231	-0.029	0.197	0.555
04_12499530	-0.000	0.660	0.490	1.000	0.040	0.040	0.000	0.660	1.000	0.052
04_13870002	0.016	0.062	0.040	0.618	0.486	0.409	-0.047	-0.060	0.554	0.543
04_16027135	0.284	0.228	0.255	0.231	0.248	0.058	0.273	0.283	0.268	0.193
04_17494912	0.164	0.410	0.288	0.248	0.010	0.011	0.202	0.352	0.228	0.045
04_17495072	-0.116	0.293	0.089	0.338	0.054	0.159	-0.109	0.243	0.387	0.141
04_17600672	-0.037	0.271	0.101	0.637	0.123	0.290	-0.192	0.251	0.345	0.190
04_18891070	-0.000	-0.016	-0.011	1.000	0.982	0.982	0.000	-0.018	1.000	0.985
04_18891072	NA	-0.016	-0.016	NA	0.986	0.986	NA	-0.000	NA	1.000
04_18891156	0.094	0.131	0.113	0.409	0.339	0.196	0.065	0.113	0.496	0.386
04_22054938	0.348	0.149	0.253	0.051	0.307	0.031	0.235	0.165	0.167	0.279
04_25058843	-0.057	0.048	0.014	0.864	0.599	0.600	-0.051	-0.138	0.892	0.564
04_27035319	-0.016	-0.016	-0.016	0.976	0.981	0.957	-0.018	-0.016	0.989	0.988
04_27059818	0.550	0.084	0.318	0.003	0.415	0.005	0.521	-0.030	0.005	0.595
04_44898028	-0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	NA	1.000	NA
04_52131196	-0.014	NA	-0.015	0.983	NA	0.983	-0.016	NA	0.980	NA
04_52131239	-0.014	NA	-0.015	0.990	NA	0.990	-0.016	NA	0.988	NA
04_52429422	-0.115	0.010	-0.043	0.431	0.624	0.454	-0.240	-0.102	0.210	0.398
04_54068716	NA	-0.046	-0.046	NA	0.915	0.915	NA	-0.049	NA	0.913
04_54068728	-0.000	-0.031	-0.023	1.000	0.955	0.955	0.000	-0.033	1.000	0.942
04_54068730	NA	-0.015	-0.015	NA	0.983	0.983	NA	0.000	NA	1.000
04_54068742	NA	0.659	0.659	NA	0.037	0.037	NA	0.659	NA	0.048
04_54068743	-0.016	-0.016	-0.016	0.983	0.981	0.964	0.000	-0.018	1.000	0.979
04_57702127	NA	-0.017	-0.017	NA	0.988	0.988	NA	-0.019	NA	0.981
04_58601713	NA	-0.014	-0.014	NA	0.988	0.988	NA	-0.000	NA	1.000
04_64166147	0.175	-0.057	0.083	0.354	0.862	0.440	0.213	-0.065	0.306	0.837
04_70585049	0.002	0.152	0.076	0.649	0.298	0.325	0.016	0.159	0.635	0.340
04_77584940	0.134	0.368	0.268	0.405	0.051	0.031	-0.088	0.405	0.783	0.038
04_77585091	0.661	-0.042	0.263	0.039	0.915	0.039	0.659	-0.032	0.046	0.953
04_82590511	-0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	-0.000	1.000	1.000
04_92637185	-0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	0.000	1.000	1.000
04_92637325	0.000	0.000	0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
04_93220982	0.015	0.146	0.080	0.575	0.265	0.299	-0.048	0.066	0.536	0.496
04_93939491	0.191	0.044	0.118	0.229	0.509	0.159	0.135	-0.019	0.368	0.637
04_94607173	NA	-0.018	-0.018	NA	0.986	0.986	NA	-0.020	NA	0.979
04_94607176	NA	0.659	0.659	NA	0.045	0.045	NA	0.658	NA	0.064
04_94607185	0.000	-0.017	-0.012	1.000	0.984	0.984	0.000	-0.019	1.000	0.979
04_106574362	0.394	0.023	0.183	0.061	0.609	0.069	0.143	-0.002	0.437	0.656
04_106583860	0.365	0.273	0.317	0.044	0.095	0.005	0.303	0.159	0.154	0.337
04_108149930	0.235	0.133	0.186	0.119	0.323	0.051	0.262	0.066	0.135	0.473
04_109808718	-0.023	0.326	0.232	0.969	0.092	0.104	-0.030	0.165	0.976	0.383
04_110432287	NA	-0.015	-0.015	NA	0.984	 0.984	NA	-0.017	NA	0.983
04_112500814	0.270	-0.030	0.123	0.094	0.573	0.205	0.183	0.066	0.263	0.517
04_114193378	0.483	-0.029	0.256	0.085	0.957	0.127	0.479	-0.032	0.098	0.955
04_119658819	NA	-0.015	-0.015	NA	0.983	 0.983	NA	0.000	NA	1.000
04_121418966	-0.014	-0.000	-0.009	0.982	1.000	0.982	0.000	0.000	1.000	1.000
04_123609022	1.000	0.000	0.717	0.014	1.000	0.014	1.000	-0.000	0.021	1.000
04_127152351	0.059	0.012	0.037	0.469	0.623	0.447	0.055	-0.079	0.531	0.444
04_127152675	NA	0.660	0.661	NA	0.049	 0.049	NA	0.659	NA	0.043
04_131302735	0.199	0.206	0.202	0.211	0.188	0.060	0.182	0.074	0.273	0.518
04_131302889	0.227	0.372	0.301	0.164	0.031	0.011	0.174	0.197	0.316	0.239
04_137611515	-0.043	-0.031	-0.036	0.636	0.616	0.474	-0.017	-0.043	0.711	0.594
04_137611553	NA	-0.027	-0.027	NA	0.962	 0.962	NA	-0.015	NA	0.991
04_137611561	NA	-0.072	-0.072	NA	0.806	 0.806	NA	-0.082	NA	0.785
04_137611566	-0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	NA	1.000	NA
04_137611574	NA	-0.075	-0.074	NA	0.791	 0.791	NA	-0.067	NA	0.844
04_137611584	NA	-0.061	-0.060	NA	0.868	 0.868	NA	-0.051	NA	0.902
04_137611586	NA	-0.029	-0.028	NA	0.959	 0.959	NA	-0.016	NA	0.988
04_137611591	-0.000	-0.143	-0.125	1.000	0.510	0.510	-0.000	-0.123	1.000	0.629
04_137611595	-0.018	-0.385	-0.333	0.978	0.024	0.023	0.000	-0.391	1.000	0.013
04_142668426	-0.152	-0.081	-0.111	0.441	0.496	0.223	-0.148	-0.245	0.513	0.200
05_1698098	0.525	-0.159	0.147	0.012	0.296	0.120	0.444	-0.375	0.039	0.030
05_1970026	0.488	0.121	0.330	0.006	0.403	0.004	0.536	0.094	0.007	0.489
05_1970093	0.126	0.149	0.138	0.349	0.306	0.163	0.242	0.094	0.189	0.442
05_8112963	-0.037	0.550	0.243	0.653	0.003	0.040	-0.046	0.218	0.670	0.281
05_8113024	-0.054	NA	-0.056	0.594	NA	0.594	-0.042	NA	0.654	NA
05_8113033	-0.185	-0.054	-0.159	0.248	0.900	0.230	-0.253	-0.048	0.168	0.905
05_8113040	-0.016	NA	-0.017	0.979	NA	0.979	-0.018	NA	0.987	NA
05_8113057	-0.164	-0.000	-0.150	0.444	1.000	0.444	-0.184	-0.000	0.411	1.000
05_8113063	-0.296	-0.118	-0.241	0.106	0.593	0.063	-0.374	-0.082	0.045	0.791
05_8113071	-0.199	-0.407	-0.293	0.224	0.010	0.013	-0.252	-0.435	0.148	0.013
05_9205620	0.287	NA	0.287	0.197	NA	0.197	0.277	NA	0.228	NA
05_9205621	0.287	NA	0.287	0.189	NA	0.189	-0.034	NA	0.957	NA
05_9205622	0.287	NA	0.287	0.197	NA	0.197	-0.053	NA	0.904	NA
05_9205628	0.368	NA	0.368	0.129	NA	0.129	0.362	NA	0.156	NA
05_9205635	-0.143	-0.333	-0.261	0.520	0.054	0.032	-0.132	-0.362	0.606	0.034
05_9205657	-0.045	NA	-0.045	0.914	NA	0.914	-0.053	NA	0.919	NA
05_13034338	-0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	NA	1.000	NA
05_13034525	-0.000	0.000	-0.000	1.000	1.000	1.000	0.000	-0.000	1.000	1.000
05_16499676	-0.179	0.010	-0.084	0.238	0.590	0.227	-0.240	0.070	0.144	0.484
05_17744599	-0.014	0.115	0.050	0.655	0.368	0.396	-0.163	0.152	0.372	0.316
05_19424070	0.088	-0.032	0.031	0.475	0.657	0.426	0.140	-0.031	0.358	0.686
05_19424128	0.284	0.100	0.198	0.089	0.449	0.078	0.231	-0.038	0.197	0.649
05_19424231	0.000	0.000	0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
05_30573319	NA	-0.030	-0.031	NA	0.953	0.953	NA	-0.033	NA	0.951
05_32700350	-0.214	-0.013	-0.186	0.254	0.984	0.252	-0.224	-0.000	0.255	1.000
05_35323322	0.259	-0.121	0.092	0.161	0.577	0.194	0.155	-0.138	0.412	0.561
05_35902574	-0.014	NA	-0.014	0.991	NA	0.991	-0.017	NA	0.983	NA
05_36490402	-0.014	NA	-0.015	0.987	NA	0.987	-0.000	NA	1.000	NA
05_45349221	NA	0.661	0.661	NA	0.045	0.045	NA	0.660	NA	0.042
05_52808966	0.330	-0.025	0.138	0.064	0.623	0.094	0.294	-0.019	0.132	0.615
05_62110157	-0.111	-0.029	-0.088	0.637	0.957	0.614	-0.132	-0.034	0.568	0.960
05_69225734	0.465	-0.026	0.323	0.153	0.960	0.153	0.460	-0.015	0.156	0.988
05_69225742	1.000	-0.013	0.663	0.033	0.989	0.033	1.000	-0.000	0.027	1.000
05_69225769	NA	-0.026	-0.019	NA	0.968	0.968	NA	-0.015	NA	0.988
05_74435590	0.368	0.369	0.369	0.130	0.128	0.018	0.363	0.365	0.164	0.145
05_81837630	-0.207	0.042	-0.071	0.278	0.569	0.421	-0.200	-0.091	0.359	0.544
05_81837631	-0.172	-0.157	-0.164	0.291	0.314	0.126	-0.304	-0.254	0.121	0.165
05_81837642	1.000	-0.000	0.660	0.015	1.000	0.015	NA	-0.000	NA	1.000
05_86869850	NA	0.661	0.660	NA	0.037	0.037	NA	0.660	NA	0.059
05_86869915	NA	0.661	0.660	NA	0.039	0.039	NA	0.660	NA	0.052
05_91517209	0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	-0.000	1.000	1.000
05_94924096	-0.000	-0.013	-0.008	1.000	0.987	0.987	0.000	-0.015	1.000	0.979
05_98111211	0.337	0.310	0.323	0.061	0.100	0.010	0.319	0.352	0.088	0.057
05_99125082	-0.000	-0.000	-0.000	1.000	1.000	1.000	NA	0.000	NA	1.000
05_99125090	-0.236	-0.133	-0.194	0.190	0.543	0.100	-0.224	-0.148	0.261	0.497
05_99125091	-0.228	-0.172	-0.203	0.211	0.396	0.078	-0.250	-0.192	0.219	0.347
05_100247878	-0.014	NA	-0.014	0.991	NA	 0.991	-0.018	NA	0.984	NA
05_101090016	-0.000	-0.014	-0.009	1.000	0.988	0.988	0.000	-0.016	1.000	0.985
05_101090021	-0.029	NA	-0.030	0.970	NA	 0.970	-0.033	NA	0.943	NA
05_101090031	-0.115	-0.000	-0.101	0.626	1.000	0.626	-0.132	0.000	0.578	1.000
05_102438801	0.661	0.128	0.268	0.039	0.424	0.081	0.659	0.218	0.054	0.312
05_104814372	0.277	0.131	0.204	0.089	0.331	0.063	0.162	0.127	0.287	0.348
05_104814530	-0.004	0.065	0.030	0.607	0.485	0.452	0.031	0.019	0.549	0.592
05_110532921	-0.032	0.221	0.088	0.662	0.193	0.185	0.028	0.118	0.634	0.453
05_110533218	0.328	0.361	0.342	0.117	0.094	0.019	0.225	0.201	0.245	0.354
05_117973626	0.237	0.074	0.149	0.154	0.439	0.116	0.242	-0.007	0.168	0.619
05_119062745	-0.118	-0.182	-0.154	0.576	0.314	0.176	-0.107	-0.222	0.674	0.256
05_123742359	0.022	-0.050	-0.013	0.562	0.529	0.527	-0.138	-0.145	0.359	0.327
05_123742579	-0.179	0.409	0.154	0.365	0.030	0.066	-0.184	0.404	0.406	0.040
05_125926018	0.126	-0.327	-0.106	0.348	0.043	0.235	0.094	-0.435	0.425	0.006
05_126353168	-0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	NA	1.000	NA
05_127028405	0.563	0.010	0.287	0.003	0.630	0.019	0.528	-0.179	0.013	0.241
05_130584045	-0.097	0.167	0.038	0.516	0.291	0.497	-0.101	0.152	0.493	0.345
05_130584129	-0.063	0.315	0.199	0.848	0.066	0.104	-0.074	0.205	0.810	0.255
05_130584139	-0.015	-0.000	-0.011	0.983	1.000	0.983	-0.018	-0.000	0.984	1.000
05_133262268	-0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	0.000	1.000	1.000
05_133262281	-0.014	NA	-0.015	0.987	NA	 0.987	-0.000	NA	1.000	NA
05_135175151	0.074	0.023	0.049	0.420	0.587	0.366	0.012	0.023	0.620	0.582
05_136405288	0.125	0.171	0.148	0.375	0.218	0.144	0.103	0.132	0.412	0.336
06_4431834	NA	-0.015	-0.015	NA	0.982	0.982	NA	-0.016	NA	0.980
06_4431907	NA	-0.029	-0.029	NA	0.966	0.966	NA	-0.032	NA	0.949
06_5387189	0.111	-0.067	0.046	0.455	0.839	0.459	0.143	-0.053	0.445	0.897
06_5387239	-0.030	NA	-0.030	0.953	NA	0.953	-0.037	NA	0.951	NA
06_5387259	-0.014	NA	-0.012	0.988	NA	0.988	-0.016	NA	0.986	NA
06_5387417	0.370	-0.000	0.302	0.140	1.000	0.140	-0.033	0.000	0.941	1.000
06_7703160	NA	-0.029	-0.029	NA	0.967	0.967	NA	-0.032	NA	0.949
06_10481889	-0.000	-0.040	-0.030	1.000	0.943	0.943	-0.000	-0.048	1.000	0.907
06_15105547	0.718	0.021	0.356	0.001	0.604	0.002	0.612	0.025	0.009	0.588
06_17214005	-0.127	0.115	-0.012	0.330	0.352	0.400	-0.186	0.065	0.267	0.504
06_19331467	-0.025	0.440	0.207	0.597	0.006	0.052	0.046	0.356	0.545	0.064
06_19331619	0.012	0.453	0.239	0.603	0.008	0.033	0.094	0.305	0.445	0.073
06_21259952	-0.013	-0.013	-0.013	0.989	0.987	0.976	-0.016	-0.015	0.988	0.988
06_21812869	NA	-0.019	-0.021	NA	0.977	0.977	NA	-0.020	NA	0.979
06_23275214	0.095	-0.083	0.021	0.496	0.757	0.507	0.158	-0.065	0.398	0.848
06_23275442	-0.014	NA	-0.014	0.987	NA	0.987	NA	NA	NA	NA
06_33340074	0.660	NA	0.660	0.026	NA	0.026	0.659	NA	0.044	NA
06_36570819	0.320	0.085	0.226	0.075	0.532	0.066	0.133	0.077	0.401	0.546
06_36571126	0.166	0.424	0.295	0.262	0.010	0.012	0.088	0.445	0.453	0.015
06_40457380	-0.029	0.369	0.216	0.961	0.137	0.172	-0.034	-0.032	0.964	0.961
06_40457408	-0.014	NA	-0.014	0.984	NA	0.984	-0.017	NA	0.974	NA
06_42578839	-0.313	-0.061	-0.251	0.075	0.883	0.068	-0.295	-0.061	0.121	0.876
06_42578855	NA	-0.020	-0.021	NA	0.981	0.981	NA	-0.020	NA	0.984
06_43575507	-0.014	NA	-0.014	0.989	NA	0.989	-0.017	NA	0.988	NA
06_45337586	-0.000	1.000	0.661	1.000	0.011	0.011	-0.000	1.000	1.000	0.026
06_46317009	-0.000	-0.068	-0.057	1.000	0.799	0.799	-0.000	-0.082	1.000	0.791
06_46317210	-0.000	0.170	0.149	1.000	0.373	0.373	0.000	0.162	1.000	0.388
06_52393434	-0.063	0.086	0.010	0.489	0.485	0.498	-0.100	0.046	0.436	0.535
06_52477101	-0.039	0.269	0.101	0.594	0.111	0.281	-0.151	0.244	0.372	0.181
06_53065782	0.102	-0.176	-0.048	0.452	0.223	0.383	0.101	-0.200	0.464	0.216
06_54442764	0.341	0.273	0.305	0.048	0.080	0.008	0.277	0.188	0.140	0.208
06_54442881	0.330	0.055	0.169	0.065	0.492	0.130	0.224	0.007	0.190	0.618
06_57078726	-0.000	1.000	0.667	1.000	0.020	0.020	-0.000	1.000	1.000	0.015
06_57078919	0.028	0.015	0.022	0.567	0.576	0.532	-0.048	-0.106	0.550	0.412
06_58323876	0.364	0.010	0.175	0.030	0.609	0.032	0.287	0.070	0.121	0.510
06_58474673	NA	-0.014	-0.014	NA	0.990	0.990	NA	-0.016	NA	0.981
06_58792685	0.183	0.205	0.194	0.216	0.184	0.067	0.200	0.119	0.216	0.370
06_58792741	0.139	0.159	0.149	0.289	0.237	0.110	0.145	0.113	0.342	0.375
06_58792940	0.189	0.174	0.182	0.201	0.221	0.077	0.293	0.119	0.095	0.413
06_58793150	0.299	0.140	0.224	0.065	0.299	0.028	0.352	0.119	0.050	0.362
06_60755740	0.344	-0.048	0.148	0.037	0.519	0.147	0.305	-0.198	0.076	0.235
06_60913871	-0.015	0.481	0.311	0.984	0.082	0.095	-0.016	-0.016	0.984	0.981
06_61116333	-0.039	0.178	0.054	0.562	0.285	0.451	-0.080	-0.143	0.499	0.519
06_61845982	-0.086	0.371	0.106	0.764	0.112	0.320	-0.107	0.365	0.691	0.149
06_64636631	0.140	-0.182	0.002	0.330	0.358	0.432	0.135	-0.222	0.383	0.249
06_65165701	NA	-0.015	-0.015	NA	0.981	0.981	NA	-0.016	NA	0.976
06_65165708	NA	-0.015	-0.015	NA	0.987	0.987	NA	0.000	NA	1.000
06_65165714	NA	-0.029	-0.030	NA	0.955	0.955	NA	-0.032	NA	0.949
06_65165717	NA	-0.014	-0.015	NA	0.988	0.988	NA	-0.016	NA	0.987
06_65165719	NA	-0.014	-0.015	NA	0.994	0.994	NA	0.000	NA	1.000
06_65165727	NA	-0.077	-0.077	NA	0.815	0.815	NA	-0.049	NA	0.913
06_65165777	-0.013	0.000	-0.009	0.992	1.000	0.992	0.000	NA	1.000	NA
06_65165787	0.453	0.000	0.232	0.004	0.655	0.025	0.459	-0.060	0.014	0.516
06_65165791	NA	-0.014	-0.014	NA	0.984	0.984	NA	NA	NA	NA
06_65165861	-0.104	-0.000	-0.092	0.657	1.000	0.657	-0.088	NA	0.770	NA
06_65165958	0.205	-0.063	0.070	0.179	0.497	0.347	0.322	-0.102	0.065	0.440
06_65397748	0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	-0.000	1.000	1.000
06_65397763	0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	-0.000	1.000	1.000
06_65397806	0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	-0.000	1.000	1.000
06_65550908	0.325	0.303	0.315	0.059	0.101	0.009	0.283	0.200	0.139	0.260
06_65882170	0.105	0.472	0.308	0.405	0.006	0.011	0.068	0.414	0.577	0.036
06_70131355	-0.045	-0.000	-0.035	0.924	1.000	0.924	-0.033	-0.000	0.953	1.000
06_70131579	0.455	0.140	0.295	0.007	0.302	0.006	0.488	-0.043	0.009	0.593
06_78183476	-0.194	-0.088	-0.137	0.313	0.506	0.140	-0.240	-0.065	0.233	0.575
06_80549864	0.661	-0.013	0.398	0.038	0.987	0.038	1.000	-0.015	0.018	0.986
06_80549878	0.524	-0.300	0.013	0.041	0.050	0.479	0.634	-0.294	0.025	0.093
06_80549896	NA	-0.040	-0.038	NA	0.918	0.918	NA	-0.031	NA	0.953
06_84942634	-0.042	0.064	0.033	0.916	0.544	0.580	-0.033	0.039	0.951	0.622
06_84942666	-0.043	NA	-0.044	0.923	NA	0.923	-0.016	NA	0.985	NA
06_84942671	-0.014	NA	-0.015	0.991	NA	0.991	NA	NA	NA	NA
06_84942894	-0.015	0.313	0.253	0.986	0.132	0.137	-0.018	0.303	0.985	0.145
06_85010373	0.095	-0.041	0.054	0.485	0.930	0.524	0.158	-0.032	0.395	0.957
06_85256484	0.254	-0.213	0.024	0.095	0.143	0.347	0.162	-0.274	0.286	0.118
06_88149174	0.660	-0.032	0.301	0.045	0.958	0.083	0.659	-0.033	0.049	0.945
06_92686740	0.095	0.191	0.152	0.520	0.220	0.148	-0.107	0.244	0.699	0.184
06_92952768	0.185	0.384	0.292	0.231	0.018	0.013	0.058	0.308	0.542	0.093
06_94317040	0.101	0.072	0.086	0.391	0.472	0.240	-0.116	0.023	0.473	0.638
06_98969399	-0.000	-0.000	-0.000	1.000	1.000	1.000	NA	-0.000	NA	1.000
06_100037921	NA	-0.015	-0.015	NA	0.981	 0.981	NA	-0.018	NA	0.989
06_100037979	-0.015	NA	-0.016	0.981	NA	 0.981	-0.018	NA	0.984	NA
06_100414585	-0.014	-0.000	-0.009	0.984	1.000	0.984	-0.016	0.000	0.985	1.000
06_100414586	NA	-0.014	-0.014	NA	0.983	 0.983	NA	-0.016	NA	0.991
06_101941181	-0.104	0.042	-0.011	0.664	0.507	0.559	-0.127	-0.097	0.599	0.494
06_108863627	0.100	0.259	0.189	0.453	0.105	0.089	0.094	0.197	0.440	0.241
06_110802360	0.085	0.328	0.214	0.443	0.044	0.043	0.088	0.318	0.451	0.081
06_110802445	-0.086	-0.040	-0.069	0.714	0.931	0.661	-0.088	-0.048	0.774	0.907
06_111821280	0.103	0.311	0.204	0.366	0.064	0.043	0.070	0.241	0.486	0.143
06_111853133	0.055	0.419	0.218	0.486	0.015	0.055	-0.176	0.356	0.266	0.048
06_115192939	NA	-0.013	-0.012	NA	0.989	 0.989	NA	-0.015	NA	0.981
06_118255854	NA	-0.014	-0.015	NA	0.982	 0.982	NA	-0.016	NA	0.987
06_120936671	0.072	0.097	0.085	0.487	0.375	0.258	0.182	0.023	0.269	0.609
06_126431053	-0.100	0.544	0.268	0.710	0.009	0.054	-0.111	0.445	0.706	0.047
07_985249	-0.226	0.173	-0.004	0.178	0.231	0.406	-0.216	0.074	0.296	0.494
07_6286924	0.298	0.050	0.180	0.054	0.518	0.091	0.215	-0.060	0.180	0.515
07_6287175	-0.346	-0.013	-0.203	0.045	0.711	0.034	-0.333	0.039	0.073	0.618
07_6976274	NA	-0.013	-0.007	NA	0.984	0.984	NA	-0.000	NA	1.000
07_6976299	NA	-0.070	-0.064	NA	0.834	0.834	NA	-0.082	NA	0.764
